Timestamp,Which age group do you belong to?,What is your employment status?,Which part of the year did you visit USS?,Who did you visit USS with?,What was the main purpose of your visit?,What factors influenced your decision to visit USS? Select all that apply,What concerns did you have before deciding to visit USS?,"On a scale of 1-5, how would you rate your overall experience at USS?",What was the highlight of your visit?,How would you describe USS' brand image before visiting?,How did you first hear about Universal Studios Singapore?,"How easy was it to find relevant information about USS online (ticket pricing, attractions, events, etc.)?",Have you seen any recent advertisements or promotions for USS?,What type of promotions or discounts would encourage you to visit USS?,Did you visit the USS website while planning your trip?,"How easy was it to navigate the USS website to find information about tickets, attractions, and events?","Did the website provide clear and sufficient information about ticket prices, promotions, and park rules?",What features would improve your experience on the USS website? (Select all that apply),Did you use the USS mobile app before your visit?,"If you used the USS app, how would you rate its ease of use?",What USS app features did you find most helpful? (Select all that apply)  ,What feedback/suggestions would you like to provide for USS website/app?,Which ride or attraction was your favourite?,Why this attraction in particular? ,Which ride or attraction have you had bad experiences with (if any)? ,What made your experience with this ride or attraction unpleasant? ,"Did you experience any rides with longer-than-expected wait times? If yes, which ride(s)?",How long did you wait in line for rides on average during your visit?,"Did you feel that overall, the queueing time was worth the experience of the attraction? ", Were the shows and performances engaging and enjoyable?  ,Did you find the price of the general admission ticket reasonable for the experience provided?,Did you purchase the Express Pass?,"If you purchased the Express Pass, how would you rate the value of the Express Pass in relation to the experience it provided?",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Waiting times],Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride variety ],"Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride experience (quality, theme, etc.)]","Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Overall park experience (atmosphere, entertainment, etc.)]",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Customer Service], Did you find a good variety of food options?  ,Were there enough affordable and accessible meal choices?  ,Were there enough kid-friendly meal choices?, How would you rate the food quality and service?  ,Did you stay at a nearby hotel or within Resorts World Sentosa?   ,"If you booked a nearby accommodation, how was the experience? ",Was the accommodation convenient and family-friendly?  ,Have you reached out to USS customer service before your visit?,"If you interacted with USS customer service, how satisfied were you with the response time and assistance?",Were the park staff at USS friendly and helpful? Rate on a scale from 1-5.,"Did you encounter any issues that required assistance, and how were they handled?  ",Would you choose to revisit USS?,"If you answered 'No' or 'Maybe', please explain why. ",What changes or improvements would make your next visit better?  ,Would you recommend USS to others?,Please state your reason for the previous question.
2/16/2025 13:23:58,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,Special events or themed attractions,"Ride wait times and crowd levels, Food options and prices, Accessibility and transportation",4,"Live shows and entertainment, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process","No, I didn't find it necessary",,Not applicable (Did not use the app),,Puss in Boots,dk,Not applicable,,,15 to 30 minutes,3,4,No,No,,3,2,5,4,1,Yes,No,Yes,4,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,Because maybe,Less costly,No,It's not a common topic of conversation
2/16/2025 13:24:56,35 - 44 years old,Employed,October - December,Family (including children),Family outing,Positive online reviews,Ride wait times and crowd levels,4,"Thrilling rides, Live shows and entertainment",High quality and premium entertainment,Social media,5,"Yes, but they did not influence my decision",Bundle deals (hotel + ticket packages etc.),Yes,1,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,The Virtual reality experience,Not applicable,,,31 to 45 minutes,4,4,Yes,No,,2,3,4,1,5,No,No,Yes,4,Yes,Nil,Yes,"No, I did not",,5,Nil,Yes,,Nil,Yes,It is fun and engaginf
2/16/2025 13:45:01,45 years old and above,Retired,Can't recall / Not sure,Family (adults only),Family outing,Reputation as a top theme park in Asia,Accessibility and transportation,4,Shorter queue times and Express Pass benefits,Exciting and thrilling rides,Word of mouth,3,"No, I haven't seen any ads",Family/group discounts,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't find it necessary",,Not applicable (Did not use the app),Nil.,Can't remember.,N/A,N/A ,N/A ,N/A,46 to 60 minutes,4,4,No,No,3,1,2,3,4,5,Yes,Yes,Yes,3,No,Nil,Not applicable,"Yes, via social media",3,3,Nil,Maybe,Time constraints. ,Nil,Yes,Good visit.
2/16/2025 14:06:15,45 years old and above,Employed,April - June,Family (including children),Family outing,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",3,"Thrilling rides, Live shows and entertainment, Shorter queue times and Express Pass benefits, Overall park atmosphere and theme",Fun and family-friendly,Online ads,3,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,3,"Somewhat clear, but some details were missing","Better mobile optimisation, More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,"Interactive park map, Show schedules and ride wait times","Make the tickets cheaper especially for families with children, it adds up to a lot",Revenge of the Mummy,It was not too scary but still fun,Not applicable,,"Transformers, Sesame Street Spaghetti Space Chase, Puss in Boots, Canopy Flyer",31 to 45 minutes,2,4,No,No,,4,2,3,1,5,No,No,No,2,No,Nil,Not applicable,"No, I did not",,3,Nil,Maybe,The prices still too high,Make it more affordable ,No,I might not visit it myself
2/16/2025 14:28:15,25 - 34 years old,Employed,April - June,Family (adults only),Tourism,"Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Social media,4,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","Better mobile optimisation, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,"Most thrilling, 'Mummy' ride comes in second for the same reason",Not applicable,,"HUMAN, CYLON, Revenge of the Mummy",61 to 90 minutes,3,3,No,Yes,4,1,2,3,4,5,No,No,,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Maybe,"Depends on if there's a new ride, or an occasion to celebrate","Ways to understand waiting times (days of the week, timings etc) ; more exciting rides, targeted at adults. Too many kid-friendly rides",Yes,"Would recommend for tourists who haven't seen too many amusement parks, or enjoy rides etc but not many intense ones "
2/16/2025 14:37:16,Option 2,Student,April - June,Friends,Social gathering,"Reputation as a top theme park in Asia, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",3,Thrilling rides,Exciting and thrilling rides,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,"Despite the long wait time, the ride was the most exhilarating out of all. ","Sesame Street Spaghetti Space Chase, Canopy Flyer","For the Sesame Street Spaghetti Space Chase, the ride has remained exactly the same for at least the past 14 years and is not worth the long wait time. 
For the Canopy Flyer, the wait time is outrageously long for an outrageously short ride. ","Sesame Street Spaghetti Space Chase, Canopy Flyer",31 to 45 minutes,3,2,No,No,,1,2,3,4,5,Yes,No,,2,No,NIL,Not applicable,"No, I did not",,4,NIL,No,"Tickets cost $83 per pax, which is not worth the price given the experience. The rides are all the same, except the newly opened minion section, which is not enticing enough (already behind the trend, USJ already had this in 2019). ",Perhaps local discounts for tickets? ,No,"I would not recommend USS to locals who have the capacity/intend to travel to other countries and non-locals. This is because other theme parks, such as USJ (which has the attractions that USS has and more), have more facilities and ride variety to provide a more enjoyable experience. However, to those who are unable to travel overseas but want to experience a theme park, I would recommend it to them as it would be a fun activity given Singapore’s limited attractions. "
2/16/2025 14:52:14,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't find it necessary",,Not applicable (Did not use the app),,Revenge of the Mummy,A lot of fun but not too scary,Not applicable,,"HUMAN, CYLON, Revenge of the Mummy",31 to 45 minutes,4,3,No,No,,3,2,4,5,1,No,No,No,3,No,NIL,Not applicable,"No, I did not",,5,NIL,Maybe,Depends on the ticket pricing/promotions/package available,More affordable food and drinks,Yes,It's a fun experience that you can't find elsewhere in Singapore
2/16/2025 17:11:31,18 - 24 years old,Student,Can't recall / Not sure,Family (adults only),Family outing,"Reputation as a top theme park in Asia, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Social media,4,"No, I haven't seen any ads","Discounted tickets, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),NA,CYLON,I like thrilling and fun rides ,Not applicable,,Transformers,46 to 60 minutes,3,3,Yes,No,,5,4,2,1,3,No,No,Yes,4,No,nil,Not applicable,"No, I did not",,4,nil,Maybe,the tickets are rather expensive,major upgrades? like the addition of new rides ,Yes,it's a fun place to go together with friends/family at least once 
2/16/2025 17:18:49,45 years old and above,Employed,Can't recall / Not sure,Family (adults only),Family outing,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Online ads,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,"Thematic, and immersive ",Not applicable,,Canopy Flyer,46 to 60 minutes,4,4,Yes,No,,4,3,2,1,5,Yes,No,Yes,3,Yes,Expensive but pretty good service ,Yes,"No, I did not",,5,Nil,Maybe,"Not much variety, need to update with more new attractions more frequently ",New exciting attractions ,Yes,"Nice theme park overall, but repeat visit probably not great"
2/16/2025 19:55:28,12 - 17 years old,Student,July - September,Friends,Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",5,"Thrilling rides, Shorter queue times and Express Pass benefits, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,3,"Yes, but they did not influence my decision",Bundle deals (hotel + ticket packages etc.),No,3,"Somewhat clear, but some details were missing","Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't find it necessary",4,"Show schedules and ride wait times, Not applicable (Did not use the app)",,Transformers,it is really fun,"Transformers, Revenge of the Mummy, Sesame Street Spaghetti Space Chase",,Sesame Street Spaghetti Space Chase,61 to 90 minutes,2,4,Yes,No,4,2,3,4,5,1,Yes,No,Yes,2,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,it is tooo expensive and the ride gets repititive,hopefullly shorter waiting time as we wasted lots of time there,Yes,it is a good tourist attraction in Singapore
2/16/2025 19:59:17,25 - 34 years old,Employed,October - December,Friends,"Special event / Celebration (eg. birthday, anniversary)","Social media content (Instagram, Youtube, Tiktok, etc)","Ticket pricing and affordability, Accessibility and transportation",2,Live shows and entertainment,Exciting and thrilling rides,Word of mouth,2,Yes and they influenced my decision to visit,Seasonal event promotions,Yes,3,"Somewhat clear, but some details were missing","More user-friendly ticket booking process, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",4,Show schedules and ride wait times,,Canopy Flyer,it is exciting,Puss in Boots,boring,Transformers,More than 90 minutes,2,3,No,No,2,5,1,2,4,3,No,No,No,2,No,NIL,Not applicable,"Yes, via phone",3,4,NIL,Yes,,shorter waiting time,Yes,it is still a nice place to bond
2/16/2025 22:06:39,18 - 24 years old,Student,October - December,Romantic partner,Date/Romantic experience,Friends or family recommendations,Park cleanliness and hygiene,4,"Thrilling rides, Shorter queue times and Express Pass benefits",Exciting and thrilling rides,Word of mouth,5,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,4,"Somewhat clear, but some details were missing",Live updates on crowd levels and wait times,Yes,5,Show schedules and ride wait times,,Transformers,Visual Effect,Not applicable,,,Less than 15 minutes,4,4,Yes,No,,1,2,3,4,5,No,Yes,Yes,3,No,NIL,Yes,"No, I did not",,4,NIL,Maybe,The ride variety is too limited,More rides,Yes,For the first time yes but for a second time maybe a no
2/16/2025 22:34:37,18 - 24 years old,Student,July - September,Romantic partner,"Special event / Celebration (eg. birthday, anniversary)",Reputation as a top theme park in Asia,Ride wait times and crowd levels,4,Thrilling rides,Exciting and thrilling rides,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, ",Yes,2,"Somewhat clear, but some details were missing",More detailed ride descriptions and photos/videos,"No, I didn't know there was an app",,Online ticket booking,,CYLON,Fun and exciting ,Transformers,Long wait time,Transformers,15 to 30 minutes,2,4,Yes,No,,5,4,3,2,1,No,No,No,4,No,No,Not applicable,"No, I did not",,4,Nil,Maybe,If cheaper,Cheaper and new attractions,Yes,No other theme park here 
2/16/2025 22:46:10,18 - 24 years old,Student,October - December,"Friends, Romantic partner",Date/Romantic experience,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Live shows and entertainment, Shorter queue times and Express Pass benefits",Exciting and thrilling rides,Word of mouth,4,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,4,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,not hot but still thrilling,Not applicable,,,15 to 30 minutes,4,,No,No,,1,4,5,3,2,No,No,No,4,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,,cheaper ticket,No,"an expensive go out, can find somewhere cheaper with other fun"
2/16/2025 23:37:44,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels",3,Overall park atmosphere and theme,High quality and premium entertainment,Social media,4,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,Thrilling ,Not applicable,,,46 to 60 minutes,3,2,Yes,No,,2,3,1,4,5,No,No,,2,No,NIL,Not applicable,"No, I did not",,3,NIL,Maybe,Will only go if invited,Sheltered / aircon waiting areas ,No,"I don’t like theme parks in general, only went because we got free tickets"
